Word,Difficulty
a,0
aardvark,2
aardvarks,2
aback,4
abacus,3
abacuses,0
abalone,0
abandon,2
abandoned,1
abandoning,1
abandonment,1
abandons,2
abase,1
abased,0
abasement,0
abashed,3
abate,2
abated,1
abatement,1
abates,4
abating,1
abattoir,2
abattoirs,2
abbess,0
abbey,8
abbeys,3
abbot,5
abbots,4
abbreviate,0
abbreviated,1
abbreviates,0
abbreviating,0
abbreviation,0
abbreviations,0
abdicate,0
abdicated,1
abdicates,0
abdicating,1
abdication,1
abdomen,2
abdomens,2
abdominal,2
abduct,5
abducted,2
abducting,3
abduction,1
abductions,1
abductor,2
abductors,2
aberrant,1
aberration,0
aberrations,0
abet,8
abets,4
abetted,2
abetting,2
abeyance,1
abhor,2
abhorred,1
abhorrence,1
abhorrent,1
abhorring,1
abhors,1
abide,3
abided,0
abides,2
abiding,1
abilities,0
ability,3
abject,1
abjectly,3
abjure,1
abjured,1
ablate,0
ablates,2
ablating,1
ablation,1
ablative,0
ablaze,1
able,2
abler,2
ablest,2
ablution,1
ablutions,1
ably,4
abnegation,0
abnormal,2
abnormalities,0
abnormality,1
abnormally,2
aboard,2
abode,1
abodes,2
abolish,2
abolished,2
abolishes,1
abolishing,3
abolition,1
abolitionist,0
abolitionists,0
abominable,0
abominably,1
abominate,0
abominated,1
abomination,1
abominations,1
aboriginal,2
aborigines,0
abort,3
aborted,4
aborting,2
abortion,1
abortionist,1
abortionists,0
abortions,1
abortive,1
aborts,2
abound,4
abounded,2
abounding,1
abounds,2
about,4
above,2
abraded,1
abrasion,2
abrasions,1
abrasive,1
abrasively,1
abrasiveness,0
abrasives,0
abreast,0
abridge,0
abridged,1
abridgement,0
abridging,1
abroad,4
abrogate,1
abrogated,3
abrogating,1
abrogation,1
abrogations,1
abrupt,3
abruptly,3
abruptness,2
abscess,0
abscesses,0
abscissa,1
abscissae,0
abscissas,1
abscond,3
absconded,0
absconder,0
absconding,1
abseil,0
abseiled,1
abseiler,1
abseiling,0
abseils,0
absence,0
absences,2
absent,2
absented,0
absentee,0
absenteeism,0
absentees,0
absenting,0
absently,1
absolute,2
absolutely,0
absoluteness,1
absolutes,1
absolution,1
absolutism,2
absolutist,2
absolutists,1
absolve,1
absolved,2
absolves,2
absolving,2
absorb,2
absorbed,2
absorbency,1
absorbent,1
absorber,2
absorbers,0
absorbing,2
absorbingly,1
absorbs,2
absorption,2
absorptions,1
absorptive,0
absorptivity,2
abstain,2
abstained,0
abstainer,1
abstainers,0
abstaining,1
abstains,2
abstemious,0
abstemiously,0
abstemiousness,0
abstention,0
abstentions,0
abstinence,0
abstinent,0
abstract,2
abstracted,0
abstractedly,1
abstracting,1
abstraction,1
abstractions,0
abstractly,3
abstracts,2
abstruse,1
abstrusely,0
absurd,2
absurdest,0
absurdist,2
absurdities,0
absurdity,2
absurdly,3
abundance,0
abundances,0
abundant,2
abundantly,3
abuse,2
abused,1
abuser,2
abusers,0
abuses,2
abusing,3
abusive,0
abusively,0
abusiveness,0
abut,5
abutment,1
abutments,0
abutted,4
abutting,1
abysmal,3
abysmally,3
abyss,1
abyssal,3
abysses,2
acacia,2
academe,0
academia,2
academic,2
academical,1
academically,0
academician,1
academicians,0
academics,2
academies,1
academy,5
acanthus,3
accede,0
acceded,0
acceding,1
accelerate,0
accelerated,0
accelerates,1
accelerating,0
acceleration,0
accelerations,0
accelerator,1
accelerators,1
accelerometer,1
accelerometers,1
accent,1
accented,1
accenting,1
accents,1
accentuate,1
accentuated,1
accentuates,2
accentuating,0
accentuation,0
accept,2
acceptability,0
acceptable,0
acceptably,2
acceptance,0
acceptances,1
accepted,2
accepting,1
acceptor,1
acceptors,1
accepts,2
access,1
accessed,1
accesses,1
accessibility,0
accessible,0
accessing,0
accession,0
accessions,0
accessories,0
accessory,1
accidence,0
accident,2
accidental,0
accidentally,0
accidents,1
acclaim,1
acclaimed,1
acclamation,1
acclamations,0
acclimatisation,0
acclimatise,0
acclimatised,0
acclimatising,0
acclimatization,1
acclimatize,1
acclimatized,1
acclimatizing,1
accolade,1
accolades,2
accommodate,0
accommodated,2
accommodates,2
accommodating,1
accommodation,0
accommodations,0
accompanied,0
accompanies,1
accompaniment,0
accompaniments,0
accompanist,1
accompany,2
accompanying,1
accomplice,1
accomplices,0
accomplish,2
accomplished,0
accomplishes,0
accomplishing,1
accomplishment,0
accomplishments,0
accord,3
accordance,1
accorded,1
according,1
accordingly,2
accordion,1
accordionist,0
accordions,1
accords,2
accost,3
accosted,1
accosting,2
accosts,3
account,3
accountability,0
accountable,0
accountancy,2
accountant,2
accountants,2
accounted,2
accounting,1
accounts,2
accoutrement,1
accoutrements,1
accredit,1
accreditation,0
accredited,1
accrediting,0
accredits,1
accreted,0
accretion,0
accretions,0
accrual,2
accruals,3
accrue,1
accrued,2
accrues,1
accruing,1
accumulate,1
accumulated,1
accumulates,2
accumulating,1
accumulation,0
accumulations,0
accumulative,2
accumulator,2
accumulators,2
accuracies,0
accuracy,3
accurate,0
accurately,1
accursed,1
accusal,3
accusation,1
accusations,1
accusative,0
accusatory,2
accuse,3
accused,3
accuser,2
accusers,0
accuses,2
accusing,1
accusingly,1
accustom,2
accustomed,0
accustoming,1
ace,0
acerbic,1
acerbity,2
aces,2
acetate,1
acetates,1
acetic,3
acetone,1
acetylene,0
ache,0
ached,1
aches,1
achievable,1
achieve,0
achieved,3
achievement,0
achievements,0
achievers,0
achieves,2
achieving,0
aching,2
achingly,2
achromatic,1
acid,3
acidic,2
acidification,0
acidified,1
acidify,3
acidifying,1
acidity,2
acidly,2
acidophiles,1
acids,2
acknowledge,0
acknowledged,1
acknowledgement,1
acknowledgements,1
acknowledges,1
acknowledging,0
acknowledgment,1
acknowledgments,1
acme,1
acne,2
acolyte,1
acolytes,1
aconite,1
acorn,2
acorns,1
acoustic,1
acoustical,1
acoustically,0
acoustics,2
acquaint,4
acquaintance,0
acquaintances,0
acquainted,1
acquainting,2
acquaints,2
acquiesce,0
acquiesced,0
acquiescence,0
acquiescent,0
acquiescing,0
acquire,2
acquired,2
acquirers,0
acquires,0
acquiring,1
acquisition,1
acquisitions,0
acquisitive,0
acquisitiveness,0
acquit,3
acquits,2
acquittal,1
acquittals,1
acquittance,0
acquitted,2
acquitting,2
acre,3
acreage,1
acres,2
acrid,4
acrimonious,1
acrimoniously,0
acrimony,1
acrobat,2
acrobatic,1
acrobatics,2
acrobats,2
acronym,2
acronyms,3
across,1
acrostic,1
acrostics,2
acrylic,1
acrylics,2
act,4
acted,2
acting,3
actinides,1
action,2
actionable,1
actions,1
activate,0
activated,1
activates,0
activating,1
activation,1
activations,1
activator,1
activators,1
active,3
actively,2
actives,3
activism,2
activist,2
activists,1
activities,0
activity,3
actor,3
actors,2
actress,2
actresses,1
acts,5
actual,4
actualisation,0
actualise,0
actualised,0
actualities,0
actuality,2
actualization,1
actualized,1
actually,3
actuarial,2
actuaries,0
actuary,2
actuate,0
actuated,1
actuating,2
actuation,1
actuator,2
actuators,2
acuity,3
acumen,5
acupuncture,0
acupuncturist,0
acupuncturists,1
acute,3
acutely,3
acuteness,1
acutest,0
acyclic,1
adage,0
adages,0
adagio,3
adamant,2
adamantly,2
adapt,5
adaptability,1
adaptable,0
adaptation,1
adaptations,1
adapted,1
adapter,5
adapters,4
adapting,1
adaptive,0
adaptively,1
adaptivity,2
adaptor,2
adaptors,2
adapts,1
add,2
added,1
addenda,0
addendum,2
adder,1
adders,0
addict,3
addicted,1
addiction,1
addictions,1
addictive,0
addictiveness,0
addicts,2
adding,3
addition,1
additional,1
additionally,1
additions,1
additive,0
additively,1
additives,1
addle,3
addled,0
addles,0
addling,2
address,3
addressability,0
addressable,1
addressed,0
addressee,0
addressees,0
addresses,2
addressing,1
adds,6
adduce,4
adduced,1
adduces,1
adducing,2
adenine,1
adenoids,0
adenoma,4
adenomas,2
adept,2
adepts,1
adequacy,4
adequate,1
adequately,1
adhere,2
adhered,0
adherence,0
adherent,1
adherents,0
adherer,0
adherers,0
adheres,0
adhering,0
adhesion,1
adhesions,0
adhesive,1
adhesiveness,0
adhesives,0
adiabatic,1
adiabatically,0
adieu,1
adieus,4
adieux,3
adipose,0
adjacency,3
adjacent,2
adjacently,2
adjectival,1
adjective,0
adjectives,1
adjoin,2
adjoined,1
adjoining,1
adjoins,2
adjourn,2
adjourned,1
adjourning,1
adjournment,1
adjudged,1
adjudicate,0
adjudicated,0
adjudicates,0
adjudicating,0
adjudication,0
adjudications,0
adjudicator,1
adjudicators,1
adjunct,3
adjuncts,2
adjust,3
adjustable,0
adjusted,1
adjuster,1
adjusting,3
adjustment,0
adjustments,0
adjusts,3
adjutant,2
administer,0
administered,0
administering,0
administers,0
administrate,0
administrated,0
administrating,0
administration,0
administrations,0
administrative,0
administratively,0
administrator,0
administrators,0
admirable,1
admirably,2
admiral,1
admirals,1
admiration,1
admire,2
admired,1
admirer,0
admirers,0
admires,1
admiring,1
admiringly,1
admissibility,0
admissible,1
admission,1
admissions,1
admit,3
admits,2
admittance,1
admittances,0
admitted,1
admittedly,1
admitting,1
admixture,0
admonish,1
admonished,0
admonishes,0
admonishing,1
admonishment,0
admonition,1
admonitions,1
admonitory,2
ado,2
adolescence,0
adolescent,0
adolescents,0
adopt,4
adopted,2
adopter,4
adopting,3
adoption,2
adoptions,2
adoptive,1
adopts,2
adorable,0
adoration,1
adore,1
adored,0
adorer,0
adores,0
adoring,2
adoringly,1
adorn,3
adorned,0
adorning,1
adornment,1
adornments,0
adorns,2
adrenal,0
adrenalin,0
adrenaline,0
adrift,3
adroit,3
adroitly,2
adroitness,0
adsorb,2
adsorbed,0
adsorption,2
adulation,1
adulatory,2
adult,5
adulterate,0
adulterated,0
adulterates,0
adulterating,0
adulteration,0
adulterations,0
adulterer,0
adulterers,0
adulteress,1
adulteresses,1
adulterous,1
adultery,1
adulthood,2
adults,3
adumbrate,1
adumbrated,1
adumbrating,1
advance,0
advanced,2
advancement,0
advancements,1
advances,1
advancing,1
advantage,0
advantaged,1
advantageous,1
advantageously,1
advantages,0
advent,2
adventure,1
adventured,0
adventurer,0
adventurers,0
adventures,0
adventuring,0
adventurism,0
adventurous,1
adventurously,1
adverb,2
adverbial,2
adverbs,0
adversarial,0
adversaries,0
adversary,1
adverse,1
adversely,1
adversities,0
adversity,1
advert,3
adverted,0
advertise,0
advertised,1
advertisement,0
advertisements,0
advertiser,0
advertisers,0
advertises,1
advertising,0
adverts,1
advice,3
advices,1
advisability,0
advisable,2
advise,4
advised,1
advisedly,0
adviser,1
advisers,1
advises,1
advising,2
advisory,2
advocacy,3
advocate,0
advocated,1
advocates,1
advocating,1
adze,1
aegis,0
aeolian,0
aeon,1
aeons,1
aerate,1
aerated,0
aeration,0
aerial,2
aerials,2
aerobatic,0
aerobatics,1
aerobic,0
aerobically,0
aerobics,2
aerobraking,0
aerodrome,0
aerodromes,0
aerodynamic,0
aerodynamically,0
aerodynamics,0
aerofoil,0
aerofoils,1
aeronautic,0
aeronautical,1
aeronautics,0
aeroplane,1
aeroplanes,1
aerosol,1
aerosols,1
aerospace,1
aesthete,1
aesthetes,1
aesthetic,0
aesthetically,0
aestheticism,1
aesthetics,1
aether,1
aetiology,0
afar,2
affability,2
affable,1
affably,2
affair,2
affairs,3
affect,2
affectation,0
affectations,0
affected,2
affectedly,1
affecting,1
affection,1
affectionate,0
affectionately,0
affections,0
affective,1
affects,1
afferent,2
affidavit,1
affidavits,1
affiliate,0
affiliated,1
affiliates,0
affiliating,1
affiliation,1
affiliations,0
affine,2
affinities,0
affinity,1
affirm,4
affirmation,1
affirmations,0
affirmative,0
affirmatively,0
affirmed,2
affirming,2
affirms,3
affix,6
affixed,6
affixes,4
affixing,3
afflict,4
afflicted,2
afflicting,1
affliction,1
afflictions,1
afflicts,2
affluence,1
affluent,1
afford,4
affordability,0
affordable,0
afforded,2
affording,2
affords,3
afforestation,0
afforested,1
affray,3
affront,2
affronted,2
affronts,2
aficionado,1
aficionados,1
afield,2
aflame,1
afloat,2
afoot,2
aforementioned,0
aforesaid,0
aforethought,1
afraid,2
afresh,1
aft,5
after,4
afterbirth,1
aftercare,0
afterglow,1
afterlife,0
afterlives,1
aftermath,1
afternoon,1
afternoons,1
aftershave,0
aftershocks,1
aftertaste,0
afterthought,1
afterthoughts,1
afterwards,1
again,2
against,1
agape,0
age,1
aged,2
ageing,2
ageless,2
agencies,1
agency,3
agenda,3
agendas,3
agent,3
agents,2
ages,3
agglomerated,1
agglomerating,0
agglomeration,0
agglomerations,0
agglutinative,0
aggrandisement,0
aggrandizement,1
aggravate,0
aggravated,1
aggravates,0
aggravating,1
aggravation,2
aggravations,1
aggregate,0
aggregated,1
aggregates,0
aggregating,0
aggregation,0
aggregations,0
aggression,0
aggressions,0
aggressive,1
aggressively,0
aggressiveness,0
aggressor,1
aggressors,1
aggrieved,1
aggrievedly,1
aghast,4
agile,0
agility,4
aging,3
agitate,0
agitated,1
agitatedly,1
agitating,1
agitation,1
agitations,1
agitator,2
agitators,1
agitprop,1
aglow,3
agnostic,1
agnosticism,1
agnostics,1
ago,6
agog,4
agonies,3
agonise,0
agonised,0
agonising,1
agonisingly,1
agonize,2
agonized,1
agonizing,2
agonizingly,2
agony,2
agoraphobia,1
agoraphobic,1
agouti,2
agrarian,1
agree,1
agreeable,0
agreeableness,1
agreeably,0
agreed,1
agreeing,0
agreement,0
agreements,0
agrees,0
agribusiness,0
agricultural,1
agriculturalist,0
agriculturalists,0
agriculturally,0
agriculture,0
agrimony,2
agrochemical,1
agrochemicals,1
agronomist,1
agronomists,1
aground,2
ague,3
ah,3
ahead,1
ahem,6
aid,2
aide,1
aided,1
aider,1
aiders,0
aides,2
aiding,2
aids,1
aileron,1
ailerons,0
ailing,3
ailment,3
ailments,1
ails,2
aim,5
aimed,3
aimer,5
aiming,4
aimless,3
aimlessly,0
aimlessness,1
aims,3
air,1
airbase,1
airborne,0
airbrush,1
aircraft,2
aircrew,0
aircrews,0
aired,2
airfield,3
airfields,1
airflow,2
airframe,2
airframes,0
airgun,2
airier,1
airiest,1
airily,3
airiness,1
airing,5
airless,1
airlift,2
airlifted,1
airlifting,1
airlifts,2
airline,0
airliner,3
airliners,0
airlines,1
airlock,2
airlocks,1
airmail,2
airman,3
airmen,2
airplay,2
airport,3
airports,1
airs,4
airship,2
airships,2
airsickness,0
airspace,1
airstream,0
airstrip,1
airstrips,3
airtight,2
airtime,1
airwaves,0
airway,4
airways,2
airworthiness,0
airworthy,2
airy,3
aisle,4
aisles,3
aitches,3
ajar,3
akimbo,3
akin,4
alabaster,0
alacrity,3
alanine,0
alarm,4
alarmed,2
alarming,2
alarmingly,1
alarmist,2
alarms,2
alas,1
albatross,2
albatrosses,1
albedo,2
albedos,0
albeit,3
albino,3
album,4
albumen,4
albumin,1
albums,3
